#{"t_start": 1780881969.2482378, "env_id": "None"}
r,l,t,success,completed_targets,collision_count,remaining_battery,done_reason
-23.8,80,8.388258,False,0,18,20.0,timeout
-12.8,80,8.428576,False,0,7,20.0,timeout
-13.8,80,8.466155,False,0,8,20.0,timeout
-9.8,80,8.509113,False,0,4,20.0,timeout
-17.8,80,8.550718,False,0,12,20.0,timeout
-11.8,80,8.593333,False,0,6,20.0,timeout
-14.8,80,8.634683,False,0,9,20.0,timeout
-3.88,80,8.683992,False,1,8,20.0,timeout
-12.8,80,8.734242,False,0,7,20.0,timeout
-13.8,80,8.784918,False,0,8,20.0,timeout
-16.8,80,8.835832,False,0,11,20.0,timeout
-14.8,80,8.886165,False,0,9,20.0,timeout
-26.8,80,10.222517,False,0,21,20.0,timeout
-22.8,80,10.357402,False,0,17,20.0,timeout
-6.8,80,10.534481,False,1,11,20.0,timeout
-17.8,80,10.667269,False,0,12,20.0,timeout
0.18,80,10.804929,False,1,4,20.0,timeout
-3.86,80,10.902922,False,1,8,20.0,timeout
-3.86,80,10.973749,False,1,8,20.0,timeout
-11.8,80,11.045956,False,0,6,20.0,timeout
-0.84,80,11.101385,False,1,5,20.0,timeout
-15.8,80,11.158773,False,0,10,20.0,timeout
1.16,80,11.214228,False,1,3,20.0,timeout
1.18,80,11.275083,False,1,3,20.0,timeout
-2.84,80,11.32905,False,1,7,20.0,timeout
-6.8,80,12.615705,False,0,1,20.0,timeout
0.2,80,12.731938,False,1,4,20.0,timeout
-8.8,80,12.879619,False,0,3,20.0,timeout
-11.8,80,13.023819,False,0,6,20.0,timeout
0.2,80,13.137777,False,1,4,20.0,timeout
-3.92,80,13.224308,False,1,8,20.0,timeout
24.21,79,13.293809,True,1,5,21.0,success
0.18,80,13.353655,False,1,4,20.0,timeout
-12.8,80,13.408692,False,0,7,20.0,timeout
-1.84,80,13.458715,False,1,6,20.0,timeout
-1.82,80,13.506593,False,1,6,20.0,timeout
1.18,80,13.554982,False,1,3,20.0,timeout
-8.8,80,13.603327,False,0,3,20.0,timeout
0.2,80,14.922336,False,1,4,20.0,timeout
-8.9,80,15.036618,False,1,13,20.0,timeout
-0.8,80,15.170369,False,1,5,20.0,timeout
-0.8,80,15.307066,False,1,5,20.0,timeout
29.44,54,15.405585,True,1,0,46.0,success
-1.82,80,15.521698,False,1,6,20.0,timeout
26.14,72,15.610845,True,1,3,28.0,success
-11.82,80,15.690987,False,1,16,20.0,timeout
28.32,64,15.746549,True,1,1,36.0,success
-0.88,80,15.811444,False,1,5,20.0,timeout
1.2,80,15.893421,False,1,3,20.0,timeout
-0.8,80,15.959912,False,1,5,20.0,timeout
-9.8,80,16.033823,False,0,4,20.0,timeout
-3.8,80,17.539302,False,1,8,20.0,timeout
-0.8,80,17.638299,False,1,5,20.0,timeout
0.2,80,17.751344,False,1,4,20.0,timeout
2.18,80,17.856048,False,1,2,20.0,timeout
20.25,75,17.929081,True,1,9,25.0,success
-9.8,80,18.002591,False,1,14,20.0,timeout
3.18,80,18.076492,False,1,1,20.0,timeout
19.31,69,18.132959,True,1,10,31.0,success
-1.82,80,18.197598,False,1,6,20.0,timeout
1.2,80,18.266072,False,1,3,20.0,timeout
1.18,80,18.332637,False,1,3,20.0,timeout
-13.8,80,18.395656,False,1,18,20.0,timeout
22.33,67,18.443642,True,1,7,33.0,success
-10.84,80,18.502259,False,1,15,20.0,timeout
-1.82,80,19.799858,False,1,6,20.0,timeout
-1.8,80,19.930629,False,1,6,20.0,timeout
26.47,53,20.052858,True,1,3,47.0,success
-7.8,80,20.162324,False,1,12,20.0,timeout
-1.82,80,20.286565,False,1,6,20.0,timeout
28.67,33,20.339451,True,1,1,67.0,success
2.2,80,20.446628,False,1,2,20.0,timeout
-0.8,80,20.541849,False,1,5,20.0,timeout
23.31,69,20.616859,True,1,6,31.0,success
