#{"t_start": 1780884500.3209403, "env_id": "None"}
r,l,t,success,completed_targets,collision_count,remaining_battery,done_reason
-1.344,38,2.124547,False,1,1,0.0,battery_out
-13.91,35,2.139513,False,0,2,0.0,battery_out
-2.62,35,2.157016,False,1,1,0.0,battery_out
-2.926,42,2.178695,False,1,2,0.0,battery_out
-2.78,35,2.197324,False,1,3,0.0,battery_out
-1.518,36,2.220471,False,1,1,0.0,battery_out
0.058,44,2.247823,False,1,0,0.0,battery_out
-11.676,57,2.278918,False,0,0,0.0,battery_out
-0.608,36,2.295922,False,1,0,0.0,battery_out
-15.564,38,2.317741,False,0,5,0.0,battery_out
-13.7,35,2.336866,False,0,2,0.0,battery_out
-2.64,35,2.357331,False,1,2,0.0,battery_out
-14.41,35,2.376547,False,0,4,0.0,battery_out
-12.58,35,2.395487,False,0,0,0.0,battery_out
-16.358,41,2.420022,False,0,6,0.0,battery_out
7.97,35,2.437839,False,2,4,0.0,battery_out
-2.84,35,2.456002,False,1,2,0.0,battery_out
-1.96,35,2.474237,False,1,0,0.0,battery_out
-3.084,43,2.496562,False,1,3,0.0,battery_out
-2.67,35,2.51509,False,1,3,0.0,battery_out
-3.71,50,2.539821,False,2,13,0.0,battery_out
-13.338,41,2.559559,False,0,2,0.0,battery_out
-12.34,35,2.576666,False,0,1,0.0,battery_out
-17.59,35,2.5949,False,0,6,0.0,battery_out
-11.154,38,2.615896,False,0,0,0.0,battery_out
-10.41,35,2.633661,False,0,0,0.0,battery_out
-12.558,36,3.492521,False,0,2,0.0,battery_out
-16.94,35,3.519135,False,0,4,0.0,battery_out
-10.542,44,3.560062,False,0,0,0.0,battery_out
-0.454,43,3.596658,False,1,0,0.0,battery_out
-12.476,37,3.63175,False,0,2,0.0,battery_out
-12.67,40,3.66896,False,0,2,0.0,battery_out
-0.69,35,3.695951,False,1,1,0.0,battery_out
-1.02,35,3.722794,False,1,2,0.0,battery_out
-1.08,35,3.750005,False,1,1,0.0,battery_out
-16.08,50,3.785196,False,0,5,0.0,battery_out
-12.21,35,3.810178,False,0,2,0.0,battery_out
-18.19,35,3.833923,False,0,7,0.0,battery_out
-10.99,35,3.860065,False,0,0,0.0,battery_out
-16.63,35,3.886666,False,1,15,0.0,battery_out
0.28,35,3.913749,False,1,0,0.0,battery_out
-1.668,36,3.940809,False,1,2,0.0,battery_out
11.314,37,3.969711,False,2,0,0.0,battery_out
-13.78,35,3.999638,False,0,3,0.0,battery_out
-12.748,36,4.028575,False,0,1,0.0,battery_out
-0.45,35,4.063388,False,1,0,0.0,battery_out
-5.45,35,4.093994,False,1,6,0.0,battery_out
-0.77,35,4.121695,False,1,0,0.0,battery_out
-5.428,41,4.153923,False,1,4,0.0,battery_out
9.52,35,4.183714,False,2,2,0.0,battery_out
-1.62,35,4.21018,False,1,1,0.0,battery_out
-4.506,47,4.258924,False,1,4,0.0,battery_out
-16.016,37,4.294372,False,0,5,0.0,battery_out
-3.15,35,4.331008,False,1,3,0.0,battery_out
-16.6,35,5.701893,False,0,5,0.0,battery_out
-0.3,35,5.726056,False,1,0,0.0,battery_out
-0.7,35,5.75899,False,1,0,0.0,battery_out
-6.84,35,5.80941,False,1,6,0.0,battery_out
-10.578,36,5.831185,False,0,0,0.0,battery_out
-1.34,35,5.868396,False,1,2,0.0,battery_out
-16.746,42,5.896798,False,0,6,0.0,battery_out
-1.426,37,5.923316,False,1,1,0.0,battery_out
-16.878,36,5.947256,False,0,6,0.0,battery_out
-12.688,36,5.975075,False,0,1,0.0,battery_out
-7.97,35,5.997682,False,1,7,0.0,battery_out
-15.19,35,6.022767,False,0,5,0.0,battery_out
-1.92,35,6.046701,False,1,2,0.0,battery_out
-13.19,35,6.070935,False,0,2,0.0,battery_out
-15.86,35,6.093711,False,0,4,0.0,battery_out
12.3,35,6.117497,False,2,0,0.0,battery_out
-11.55,35,6.140892,False,0,1,0.0,battery_out
-11.588,36,6.164643,False,0,0,0.0,battery_out
-1.3,35,6.188962,False,1,1,0.0,battery_out
-2.47,35,6.211582,False,1,2,0.0,battery_out
-22.53,40,6.237528,False,0,11,0.0,battery_out
-3.316,37,6.257885,False,1,3,0.0,battery_out
-1.21,35,6.27739,False,1,1,0.0,battery_out
8.78,35,6.296157,False,2,1,0.0,battery_out
-2.006,37,6.315746,False,1,1,0.0,battery_out
-2.678,46,6.337423,False,1,4,0.0,battery_out
6.03,35,6.355733,False,2,4,0.0,battery_out
-2.06,35,6.373194,False,1,1,0.0,battery_out
-17.132,39,7.065583,False,0,6,0.0,battery_out
19.11,35,7.092748,False,3,2,0.0,battery_out
-16.49,35,7.120496,False,0,5,0.0,battery_out
-20.492,39,7.153658,False,0,9,0.0,battery_out
8.1,35,7.192652,False,2,2,0.0,battery_out
-13.63,35,7.222108,False,0,2,0.0,battery_out
-12.77,35,7.245615,False,0,3,0.0,battery_out
0.474,47,7.272335,False,1,1,0.0,battery_out
-11.188,36,7.292946,False,0,0,0.0,battery_out
-1.53,45,7.318924,False,1,2,0.0,battery_out
-2.01,35,7.336194,False,1,2,0.0,battery_out
0.698,39,7.356293,False,1,0,0.0,battery_out
-19.398,41,7.378067,False,0,8,0.0,battery_out
-11.5,35,7.395252,False,0,0,0.0,battery_out
-14.628,41,7.416057,False,0,4,0.0,battery_out
-11.52,35,7.432607,False,0,2,0.0,battery_out
-2.448,41,7.453477,False,1,1,0.0,battery_out
-20.26,35,7.469883,False,0,8,0.0,battery_out
-15.07,40,7.4879,False,0,5,0.0,battery_out
-14.418,36,7.503989,False,0,3,0.0,battery_out
-20.188,46,7.523443,False,1,18,0.0,battery_out
-17.79,35,7.538092,False,0,7,0.0,battery_out
11.02,35,7.553213,False,2,0,0.0,battery_out
-0.1,35,7.567123,False,1,0,0.0,battery_out
10.21,35,7.582171,False,2,1,0.0,battery_out
0.21,35,7.596254,False,1,0,0.0,battery_out
-12.212,39,7.612108,False,0,2,0.0,battery_out
-14.26,35,8.278049,False,0,3,0.0,battery_out
-6.984,43,8.312328,False,1,6,0.0,battery_out
8.52,35,8.338599,False,2,3,0.0,battery_out
-11.23,40,8.370166,False,0,0,0.0,battery_out
-7.648,46,8.405365,False,1,8,0.0,battery_out
8.46,55,8.448315,False,2,3,0.0,battery_out
1.5,35,8.474284,False,1,0,0.0,battery_out
-1.854,43,8.503166,False,1,2,0.0,battery_out
6.76,35,8.524661,False,2,3,0.0,battery_out
-13.64,35,8.547836,False,0,3,0.0,battery_out
6.11,35,8.569277,False,2,3,0.0,battery_out
-18.384,48,8.597704,False,0,7,0.0,battery_out
5.11,35,8.616642,False,2,6,0.0,battery_out
-13.422,39,8.639458,False,0,3,0.0,battery_out
9.44,35,8.658916,False,2,2,0.0,battery_out
-12.69,35,8.680236,False,0,2,0.0,battery_out
10.554,37,8.700064,False,2,2,0.0,battery_out
-2.54,35,8.718561,False,1,2,0.0,battery_out
-7.91,35,8.736531,False,1,7,0.0,battery_out
-3.032,44,8.760377,False,1,2,0.0,battery_out
-0.38,35,8.779887,False,1,0,0.0,battery_out
-10.972,44,8.803016,False,0,0,0.0,battery_out
-11.66,35,8.820242,False,0,1,0.0,battery_out
-2.22,35,8.83698,False,1,2,0.0,battery_out
-11.15,35,8.859569,False,0,1,0.0,battery_out
-3.688,41,8.881901,False,1,4,0.0,battery_out
-11.392,44,8.904369,False,0,1,0.0,battery_out
-3.61,40,10.01303,False,1,3,0.0,battery_out
-6.07,35,10.04939,False,1,6,0.0,battery_out
-1.76,35,10.084897,False,1,2,0.0,battery_out
-3.81,35,10.120226,False,1,4,0.0,battery_out
-1.91,40,10.163827,False,1,2,0.0,battery_out
-17.25,35,10.201715,False,0,7,0.0,battery_out
-13.318,51,10.261543,False,0,3,0.0,battery_out
-9.99,35,10.299978,False,1,9,0.0,battery_out
-2.62,35,10.343856,False,1,2,0.0,battery_out
0.05,35,10.376671,False,1,0,0.0,battery_out
-2.034,38,10.415367,False,1,3,0.0,battery_out
-3.59,35,10.448408,False,1,2,0.0,battery_out
-2.05,35,10.479987,False,1,3,0.0,battery_out
-14.38,35,10.510556,False,0,4,0.0,battery_out
-0.462,49,10.55173,False,1,1,0.0,battery_out
0.41,35,10.580013,False,1,1,0.0,battery_out
-0.17,35,10.608256,False,1,0,0.0,battery_out
-16.8,35,10.638238,False,0,6,0.0,battery_out
-21.93,35,10.665449,False,1,20,0.0,battery_out
-2.39,35,10.691905,False,1,2,0.0,battery_out
-1.24,35,10.720008,False,1,1,0.0,battery_out
-11.496,47,10.757755,False,0,0,0.0,battery_out
7.452,41,10.788122,False,2,4,0.0,battery_out
-3.94,40,10.820647,False,1,4,0.0,battery_out
-17.63,35,10.84885,False,0,6,0.0,battery_out
-0.65,35,10.88068,False,1,1,0.0,battery_out
21.71,35,10.910079,False,3,0,0.0,battery_out
-12.08,35,11.809341,False,1,11,0.0,battery_out
8.01,35,11.84198,False,2,2,0.0,battery_out
6.03,35,11.874723,False,2,5,0.0,battery_out
-15.898,36,11.909905,False,0,5,0.0,battery_out
-3.42,35,11.941168,False,1,3,0.0,battery_out
-1.778,41,11.980734,False,1,2,0.0,battery_out
18.19,35,12.01375,False,3,3,0.0,battery_out
-9.66,35,12.046411,False,0,0,0.0,battery_out
-1.62,35,12.078746,False,1,1,0.0,battery_out
-0.15,35,12.110222,False,1,1,0.0,battery_out
-0.05,35,12.139922,False,1,0,0.0,battery_out
-11.918,46,12.179963,False,0,2,0.0,battery_out
-0.92,35,12.208526,False,1,2,0.0,battery_out
-2.22,35,12.237259,False,1,2,0.0,battery_out
-14.74,35,12.265465,False,0,4,0.0,battery_out
-1.19,40,12.297978,False,1,2,0.0,battery_out
-9.34,35,12.325574,False,1,9,0.0,battery_out
-6.61,35,12.351736,False,1,6,0.0,battery_out
-14.31,35,12.378792,False,0,4,0.0,battery_out
-30.23,40,12.410866,False,0,18,0.0,battery_out
-2.006,37,12.441701,False,1,2,0.0,battery_out
-7.27,35,12.470696,False,1,8,0.0,battery_out
-1.68,35,12.497572,False,1,2,0.0,battery_out
11.056,38,12.527432,False,2,0,0.0,battery_out
-14.0,35,12.554866,False,0,3,0.0,battery_out
-10.916,37,12.583347,False,0,0,0.0,battery_out
-11.55,35,12.610613,False,0,1,0.0,battery_out
0.2,35,12.637626,False,1,1,0.0,battery_out
-2.85,35,13.659361,False,1,1,0.0,battery_out
-4.4,35,13.700263,False,1,5,0.0,battery_out
-13.57,35,13.741947,False,0,3,0.0,battery_out
21.94,35,13.784119,False,3,0,0.0,battery_out
-2.89,35,13.825486,False,1,3,0.0,battery_out
-1.62,35,13.868458,False,1,3,0.0,battery_out
12.914,42,13.921413,False,2,0,0.0,battery_out
-1.27,35,13.961122,False,1,1,0.0,battery_out
-11.734,38,14.009369,False,0,0,0.0,battery_out
-13.1,35,14.051809,False,0,3,0.0,battery_out
-4.904,38,14.098519,False,1,5,0.0,battery_out
9.27,35,14.14088,False,2,1,0.0,battery_out
-0.3,35,14.18091,False,1,0,0.0,battery_out
10.656,38,14.230252,False,2,0,0.0,battery_out
-2.564,43,14.27977,False,2,13,0.0,battery_out
-17.03,35,14.318727,False,0,7,0.0,battery_out
2.094,37,14.359802,False,2,8,0.0,battery_out
-5.382,44,14.404245,False,1,5,0.0,battery_out
-6.58,35,14.439001,False,1,6,0.0,battery_out
-21.594,43,14.481768,False,0,10,0.0,battery_out
-19.45,35,14.51413,False,0,7,0.0,battery_out
-4.64,35,14.546263,False,1,4,0.0,battery_out
-12.29,35,14.5795,False,0,2,0.0,battery_out
-14.168,36,14.611811,False,0,3,0.0,battery_out
8.03,35,14.643198,False,2,4,0.0,battery_out
-10.654,48,14.685648,False,0,0,0.0,battery_out
11.5,40,14.726684,False,2,0,0.0,battery_out
-11.66,35,14.760751,False,0,1,0.0,battery_out
-1.57,35,15.772511,False,1,2,0.0,battery_out
-9.44,35,15.807101,False,0,0,0.0,battery_out
-14.354,48,15.851792,False,1,14,0.0,battery_out
13.412,36,15.886145,False,3,8,0.0,battery_out
40.626,28,15.911547,True,2,2,7.0,success
20.254,37,15.948673,False,3,2,0.0,battery_out
-5.79,35,15.981742,False,1,5,0.0,battery_out
-12.07,35,16.013432,False,0,2,0.0,battery_out
7.52,35,16.046657,False,2,3,0.0,battery_out
-16.73,35,16.079508,False,0,6,0.0,battery_out
-11.21,35,16.11048,False,0,0,0.0,battery_out
8.87,35,16.142596,False,2,1,0.0,battery_out
-15.846,37,16.175219,False,0,5,0.0,battery_out
0.53,35,16.208495,False,1,0,0.0,battery_out
-4.766,37,16.239566,False,1,5,0.0,battery_out
9.33,35,16.268877,False,2,1,0.0,battery_out
-6.7,35,16.2952,False,1,7,0.0,battery_out
9.24,35,16.321953,False,2,1,0.0,battery_out
-1.59,35,16.35066,False,1,2,0.0,battery_out
-5.12,35,16.378798,False,1,5,0.0,battery_out
11.15,35,16.406167,False,2,1,0.0,battery_out
-2.21,35,16.433791,False,1,2,0.0,battery_out
-3.51,35,16.460618,False,1,4,0.0,battery_out
11.51,35,16.488987,False,2,0,0.0,battery_out
-15.714,53,16.531446,False,0,4,0.0,battery_out
-11.62,35,16.559137,False,0,1,0.0,battery_out
-5.218,41,16.592693,False,1,5,0.0,battery_out
12.0,35,16.620688,False,2,0,0.0,battery_out
8.842,46,17.510889,False,2,3,0.0,battery_out
11.346,38,17.547343,False,2,0,0.0,battery_out
-7.702,44,17.589469,False,1,7,0.0,battery_out
22.37,35,17.623633,False,3,0,0.0,battery_out
10.64,35,17.656958,False,2,0,0.0,battery_out
13.26,35,17.690791,False,2,0,0.0,battery_out
-26.788,36,17.724366,False,0,15,0.0,battery_out
-3.82,35,17.758483,False,1,4,0.0,battery_out
-0.83,35,17.793152,False,1,1,0.0,battery_out
1.598,39,17.832329,False,1,1,0.0,battery_out
19.48,35,17.865815,False,3,3,0.0,battery_out
-2.89,35,17.898112,False,1,2,0.0,battery_out
-1.18,35,17.928846,False,1,2,0.0,battery_out
-10.85,35,17.958924,False,0,0,0.0,battery_out
-9.62,35,17.990081,False,0,0,0.0,battery_out
-10.724,38,18.023304,False,1,11,0.0,battery_out
-6.096,42,18.059011,False,1,6,0.0,battery_out
8.97,40,18.0919,False,2,2,0.0,battery_out
-2.68,35,18.120794,False,1,4,0.0,battery_out
-2.31,35,18.149355,False,1,3,0.0,battery_out
-3.458,41,18.181792,False,2,14,0.0,battery_out
-0.128,51,18.508296,False,1,1,0.0,battery_out
7.87,35,18.543736,False,2,3,0.0,battery_out
9.796,38,18.5772,False,2,2,0.0,battery_out
-3.52,35,18.609708,False,1,4,0.0,battery_out
-4.38,35,18.640951,False,1,4,0.0,battery_out
-11.55,35,18.670562,False,0,1,0.0,battery_out
0.668,39,19.821491,False,1,0,0.0,battery_out
10.92,35,19.865885,False,2,0,0.0,battery_out
9.046,43,19.921841,False,2,2,0.0,battery_out
-1.45,35,19.963741,False,1,2,0.0,battery_out
-12.118,41,20.011579,False,0,2,0.0,battery_out
-11.29,35,20.050508,False,1,10,0.0,battery_out
1.93,35,20.086758,False,1,0,0.0,battery_out
35.628,24,20.110591,True,2,5,11.0,success
9.89,35,20.148964,False,2,1,0.0,battery_out
19.59,35,20.185603,False,3,2,0.0,battery_out
9.572,46,20.235044,False,2,1,0.0,battery_out
-2.63,35,20.269115,False,1,2,0.0,battery_out
12.548,49,20.317718,False,2,1,0.0,battery_out
-2.61,35,20.352267,False,1,3,0.0,battery_out
5.65,35,20.387117,False,2,4,0.0,battery_out
41.718,34,20.420699,True,2,1,1.0,success
0.212,41,20.460663,False,1,1,0.0,battery_out
12.372,46,20.501114,False,2,0,0.0,battery_out
-6.47,35,20.517964,False,1,6,0.0,battery_out
-15.034,38,20.54223,False,0,5,0.0,battery_out
11.434,42,20.586156,False,2,2,0.0,battery_out
11.594,37,20.62304,False,2,1,0.0,battery_out
6.13,35,20.657277,False,2,6,0.0,battery_out
8.05,35,20.690162,False,2,3,0.0,battery_out
36.912,26,20.728642,True,2,4,9.0,success
7.322,41,20.765965,False,2,4,0.0,battery_out
20.25,35,20.798173,False,3,1,0.0,battery_out
9.87,35,20.827312,False,2,2,0.0,battery_out
18.77,35,21.768058,False,3,3,0.0,battery_out
7.9,35,21.802746,False,2,3,0.0,battery_out
2.998,39,21.843858,False,2,7,0.0,battery_out
11.99,35,21.886111,False,2,0,0.0,battery_out
7.74,35,21.926623,False,2,4,0.0,battery_out
-14.226,37,21.972787,False,1,13,0.0,battery_out
2.14,35,22.011633,False,2,9,0.0,battery_out
-30.32,35,22.03924,False,0,18,0.0,battery_out
2.02,40,22.074322,False,1,0,0.0,battery_out
-11.316,42,22.119859,False,0,1,0.0,battery_out
0.67,35,22.153714,False,1,0,0.0,battery_out
11.04,35,22.187347,False,2,1,0.0,battery_out
-16.2,35,22.220294,False,1,15,0.0,battery_out
10.78,35,22.256121,False,2,1,0.0,battery_out
9.33,35,22.295334,False,2,1,0.0,battery_out
9.75,35,22.334095,False,2,2,0.0,battery_out
11.22,35,22.369565,False,2,1,0.0,battery_out
-11.074,38,22.40103,False,1,10,0.0,battery_out
6.172,36,22.437832,False,2,6,0.0,battery_out
-2.11,35,22.4755,False,1,2,0.0,battery_out
-24.436,42,22.522257,False,1,22,0.0,battery_out
0.23,35,22.557857,False,1,0,0.0,battery_out
-2.18,35,22.594416,False,1,1,0.0,battery_out
1.28,35,22.635149,False,1,0,0.0,battery_out
1.95,35,22.671717,False,2,8,0.0,battery_out
-15.8,35,22.707201,False,1,15,0.0,battery_out
-4.01,35,22.736901,False,1,4,0.0,battery_out
18.93,35,22.771194,False,3,3,0.0,battery_out
-3.28,45,23.717352,False,1,4,0.0,battery_out
11.632,41,23.756573,False,2,0,0.0,battery_out
9.27,35,23.788875,False,2,3,0.0,battery_out
-12.4,35,23.823232,False,0,2,0.0,battery_out
-9.218,46,23.866246,False,1,9,0.0,battery_out
50.804,22,23.888442,True,3,1,13.0,success
39.992,26,23.914128,True,2,2,9.0,success
36.91,30,23.944353,True,2,4,5.0,success
0.76,35,23.982434,False,1,1,0.0,battery_out
-31.484,38,24.019569,False,0,20,0.0,battery_out
-0.1,35,24.055522,False,1,0,0.0,battery_out
7.508,39,24.101323,False,2,4,0.0,battery_out
-7.52,35,24.139523,False,1,8,0.0,battery_out
-1.3,35,24.185532,False,1,1,0.0,battery_out
19.702,36,24.220884,False,3,3,0.0,battery_out
-8.62,45,24.270497,False,1,9,0.0,battery_out
1.534,42,24.312969,False,2,10,0.0,battery_out
5.27,35,24.351219,False,2,6,0.0,battery_out
39.638,34,24.386122,True,2,1,1.0,success
8.9,35,24.422012,False,2,2,0.0,battery_out
9.3,35,24.457143,False,2,1,0.0,battery_out
-29.04,35,24.496011,False,0,17,0.0,battery_out
4.04,35,24.531106,False,2,7,0.0,battery_out
-15.59,35,24.566468,False,0,5,0.0,battery_out
-5.01,35,24.60247,False,1,5,0.0,battery_out
-21.758,36,24.638811,False,0,10,0.0,battery_out
36.858,29,24.669095,True,2,5,6.0,success
-5.434,43,24.71348,False,1,5,0.0,battery_out
52.53,35,24.754224,True,3,0,0.0,success
52.662,31,26.582453,True,3,0,4.0,success
10.192,51,26.670805,False,2,2,0.0,battery_out
20.48,35,26.736415,False,3,1,0.0,battery_out
11.308,44,26.823128,False,2,1,0.0,battery_out
10.88,35,26.894869,False,2,1,0.0,battery_out
6.57,35,26.961816,False,2,5,0.0,battery_out
10.1,35,27.027008,False,2,1,0.0,battery_out
12.05,35,27.087563,False,2,1,0.0,battery_out
-8.47,35,27.144152,False,2,17,0.0,battery_out
-15.88,35,27.199639,False,0,5,0.0,battery_out
42.86,30,27.252041,True,2,1,10.0,success
54.248,34,27.310213,True,3,0,6.0,success
18.32,35,27.364176,False,3,4,0.0,battery_out
7.99,35,27.415518,False,2,3,0.0,battery_out
0.33,35,27.45996,False,2,11,0.0,battery_out
40.772,16,27.482206,True,2,1,19.0,success
10.468,54,27.553334,False,2,1,0.0,battery_out
11.1,35,27.596879,False,2,0,0.0,battery_out
12.32,35,27.638011,False,2,0,0.0,battery_out
10.04,35,27.678552,False,2,2,0.0,battery_out
-22.948,41,27.739091,False,1,21,0.0,battery_out
-9.226,42,27.797364,False,1,9,0.0,battery_out
52.174,17,27.819844,True,3,0,18.0,success
42.52,30,27.855425,True,2,0,5.0,success
8.68,35,27.899883,False,2,2,0.0,battery_out
-8.64,35,27.941659,False,1,8,0.0,battery_out
18.864,37,27.986813,False,3,3,0.0,battery_out
13.24,45,28.044191,False,3,9,0.0,battery_out
-0.11,35,29.386633,False,1,1,0.0,battery_out
-4.21,35,29.428648,False,1,6,0.0,battery_out
3.82,35,29.468921,False,2,7,0.0,battery_out
53.636,28,29.50118,True,3,0,7.0,success
-34.304,38,29.544156,False,0,22,0.0,battery_out
39.056,18,29.562782,True,2,2,17.0,success
0.47,35,29.604381,False,1,1,0.0,battery_out
1.32,35,29.641067,False,1,0,0.0,battery_out
51.272,26,29.670454,True,3,1,9.0,success
7.212,41,29.716171,False,2,3,0.0,battery_out
8.54,35,29.755463,False,2,4,0.0,battery_out
8.67,35,29.794468,False,2,3,0.0,battery_out
-12.444,38,29.813563,False,1,12,0.0,battery_out
